Igehely	Strong-szám	Ragozott alak	Kiejtés	Szótő	Rövid jelentés	Angol tükörfordítás	Kritikai kiadás
Mt 1:7	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:7	G0760	Ἀσάφ·	Asaph	Ἀσά	Asa	Asaph;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G0760	Ἀσὰφ	Asaph	Ἀσά	Asa	Asaph	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G2498	Ἰωσαφάτ·	Iōsaphat	Ἰωσαφάτ	Jehoshaphat	Jehoshaphat;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G2498	Ἰωσαφὰτ	Iōsaphat	Ἰωσαφάτ	Jehoshaphat	Jehoshaphat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G2496	Ἰωράμ·	Iōram	Ἰωράμ	Jehoram	Joram;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G2496	Ἰωρὰμ	Iōram	Ἰωράμ	Jehoram	Joram	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:8	G3604	Ὀζίαν·	Ozian	Ὀζίας	Uzziah	Uzziah;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G3604	Ὀζίας	Ozias	Ὀζίας	Uzziah	Uzziah	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G1080	ἐγέννησεν	egennēsen	γεννάω	to beget	begat	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G3588	τὸν	ton	ὁ	the/this/who	<the>	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G2488	Ἰωαθάμ·	Iōatham	Ἰωάθαμ	Jotham	Jotham;	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G2488	Ἰωαθὰμ	Iōatham	Ἰωάθαμ	Jotham	Jotham	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
Mt 1:9	G1161	δὲ	de	δέ	but/and	then	NA28+NA27+Tyn+SBL+WH+Treg+TR+Byz
