Strong-szám	Szótő	Kiejtés	Rövid jelentés
H0252	אַח	'e.cha.yi	brother
H0253	אָח	'Ach	ah!
H0254	אָח	'Ach	hearth
H0255	אֹחַ	'o.Chim	howling animal
H0256	אַחְאָב	'ach.'Av	Ahab
H0257	אַחְבָן	'ach.Ban	Ahban
H0259	אֶחָד	'e.Chad	one
H0260	אָחוּ	'A.chu	meadow
H0261	אֵחוּד	'e.Chud	Ehud
H0262	אַחְוָה	'a.cha.va.T	declaration
H0263	אַחֲוָיָה	'a.cha.va.Yat	explanation
H0264	אַחֲוָה	'a.cha.Vah	brotherhood
H0265	אֲחוֹחַ	'a.Cho.ach	Ahoah
H0266	אֲחוֹחִי	'a.cho.Chi	Ahoah
H0267	אֲחוּמַי	'a.chu.Mai	Ahumai
H0268	אָחוֹר	'a.Chor	back
H0269	אָחוֹת	'a.Chot	sister
H0270	אָחַז	ne.'e.Chaz	to grasp
H0271	אָחָז	'a.Chaz	Ahaz
H0272	אֲחֻזָּה	'a.chu.Zat	possesion
H0273	אַחְזַי	'ach.Zai	Meshullam
H0274	אֲחַזְיָ֫הוּ	'a.chaz.Ya.hu	Ahaziah
H0275	אֲחֻזָּם	'a.chu.Zam	Ahuzzam
H0276	אֲחֻזַּת	'a.chu.Zat	Ahuzzath
H0277	אֲחִי	'a.Chi	Ahi
H0278	אֵחִי	'e.Chi	Ehi|Ahiram
H0279	אֲחִיאָם	'a.chi.'Am	Ahiam
H0280	אֲחִידָה	'a.chi.Dan	riddle
H0281	אֲחִיָּ֫הוּ	'a.chi.Yah	Ahimelech
H0282	אֲחִיהוּד	'a.chi.Hud	Ahihud
H0283	אַחְיוֹ	'ach.Yo	Ahio
H0284	אֲחִיחֻד	'a.chi.Chud	Ahihud
H0285	אֲחִיטוּב	'a.chi.Tuv	Ahitub
H0286	אֲחִילוּד	'a.chi.Lud	Ahilud
H0288	אֲחִימֶ֫לֶךְ	'a.chi.Me.lekh	Ahimelech
H0289	אֲחִימַן	'a.chi.Man	Ahiman
H0290	אֲחִימַ֫עַץ	'a.chi.Ma.'atz	Ahimaaz
H0291	אַחְיָן	'ach.Yan	Ahian
H0292	אֲחִינָדָב	'a.chi.na.Dav	Ahinadab
H0293	אֲחִינֹ֫עַם	'a.chi.No.'am	Ahinoam
H0294	אֲחִיסָמָךְ	'a.chi.sa.moKh	Ahisamach
H0295	אֲחִיעֶ֫זֶר	'a.chi.'E.zer	Ahiezer
H0296	אֲחִיקָם	'a.chi.Kam	Ahikam
H0297	אֲחִירָם	'a.chi.Ram	Ahiram
H0298	אֲחִירָמִי	'a.chi.ra.Mi	Ahiram
H0299	אֲחִירַע	'a.chi.Ra'	Ahira
H0300	אֲחִישָׁ֑חַר	'a.chi.Sha.char	Ahishahar
H0301	אֲחִישָׁר	'a.chi.Shar	Ahishar
H0302	אֲחִיתֹ֫פֶל	'a.chi.To.fel	Ahithophel
H0303	אַחְלָב	'ach.Lav	Ahlab
H0304	אַחְלָ֑י	'ach.Lai	Ahlai
H0305	אַחֲלַי	'a.cha.Lei	O that!
H0306	אַחְלָ֑מָה	'ach.La.mah	amethyst
H0307	אַחְמְתָא	'ach.me.Ta'	Ecbatana
H0308	אֲחַסְבַּי	'a.chas.Bai	Ahasbai
H0309	אָחַר	te.'a.cha.Ru	to delay
H0310	אַחַר	'a.cha.Rei	after
H0311	אַחַר	'a.cha.Rei	after
H0312	אַחֵר	'a.Cher	another
H0313	אַחֵר	'a.Cher	Aher
H0314	אַחֲרוֹן	'a.cha.ro.Nim	last
H0315	אַחְרַח	'ach.Rach	Aharah|Ahiram
H0316	אֲחַרְחֵל	'a.char.Chel	Aharhel
H0317	אׇחֳרִי	'o.cho.Ri	another
H0319	אַחֲרִית	'a.cha.Rit	end
H0320	אַחֲרִית	'a.cha.Rit	latter
H0321	אׇחֳרָן	'o.cho.Ran	another
H0322	אֲחֹרַנִּית	'a.Cho.ra.Nit	backwards
H0323	אֲחַשְׁדַּרְפַּן	'a.chash.dar.pe.Nei	satrap
H0324	אֲחַשְׁדַּרְפְּנִין	'a.chash.dar.pe.nai.Ya	satrap
H0325	אֲחַשְׁוֵרוֹשׁ	'a.chash.ve.Ro.osh	Ahasuerus
H0326	אֲחַשְׁתָּרִי	ha.'a.chash.ta.Ri	Haahashtari
H0327	אֲחַשְׁתְּרָן	'a.chash.te.ra.Nim	camel
H0328	אַט	'i.T	softly
H0329	אָטָד	'a.Tad	Atad
H0330	אֵטוּן	'e.Tun	fine linen
H0331	אָטַם	'a.tu.Mim	to shutter
H0333	אָטֵר	'a.Ter	Ater
H0334	אִטֵּר	'i.Ter	lefthanded
H0335	אַי	'ai.Ye.	where?
H0336	אִי	'i-	not
H0337	אִי	L	woe!
H0338	אִי	'i.Yim	wild beast
H0339	אִי	'i.Yei	coastland
H0340	אָיַב	'a.yav.Ti	be hostile
H0341	אֹיֵב	'o.ye.Va	enemy
H0342	אֵיבָה	'ei.Vah	enmity
H0343	אֵיד	'ei.Da	calamity
H0344	אַיָּה	'ai.Yah	falcon
H0345	אַיָּה	'ai.Yah	Aiah
H0346	אַיֵּה	'ai.Yeh	where?
H0347	אִיּוֹב	'i.Yov	Job
H0348	אִיזֶבֶל	'i.Ze.vel	Jezebel
H0349	אֵיךְ	'Eikh	how?
H0350	אִי־כָבוֹד	'i-	Ichabod
H0351	אֵיכֹה	'ei.Khoh	where?
H0352	אַ֫יִל	'A.yil	ram
H0354	אַיָּל	'ai.Yal	deer
H0355	אַיָּלָה	'ai.ya.Lah	doe
H0356	אֵלוֹן	'ei.Lon	Elon
H0357	אַיָּלוֹן	'ai.ya.Lon	Aijalon
H0358	אֵילוֹן בֵּית חָנָן	'ei.Lon	Elonbeth-hanan
H0359	אֵילַת, אֵילוֹת	'ei.Lat	Elath
H0361	אֵילָם	'e.la.Mot	arches
H0362	אֵילִם	'ei.Li.ma	Elim
H0364	אֵיל פָּארָן	'eil	El-paran
H0366	אָיֹם	'a.yu.Mah	terrible
H0367	אֵימָה	'ei.Mah	terror
H0368	אֵימִים	'ei.Mim	Emim
H0369	אַ֫יִן	'A.yin	nothing
H0370	אַ֫יִן	'A.yin	whence?
H0372	אִיעֶזֶר	'i.'E.zer	Abiezer
H0373	אִיעֶזְרִי	'i.'ez.Ri	Abiezer
H0374	אֵיפָה	'ei.Fah	ephah
H0375	אֵיפֹה	'ei.Foh	where?
H0376	אִישׁ	'Ish	man
H0377	אשׁשׁ	hit.'o.Sha.shu	be manly
H0378	אִישׁ־בֹ֫שֶׁת	'ish	Ish-bosheth
H0379	אִישְׁהוֹד	'ish.Hod	Ishhod
H0380	אִישׁוֹן	'i.Shon	pupil
H0383	אִיתַי	'i.Tai	there is
H0384	אִיתִיאֵל	'i.ti.'El	Ithiel
H0385	אִיתָמָר	'I.ta.Mar	Ithamar
H0386	אֵיתָן	'ei.Tan	strong
H0387	אֵיתָן	'ei.Tan	Ethan
H0388	אֵיתָנִים	'e.ta.Nim	Ethanim
H0389	אַךְ	'akh-	surely
H0390	אַכַּד	'a.Kad	Accad
H0391	אַכְזָב	'akh.Zav	deceptive
H0392	אַכְזִיב	'akh.Ziv	Achzib
H0393	אַכְזָר	'akh.Zar	cruel
H0394	אַכְזָרִי	'akh.za.Ri	cruel
H0395	אַכְזְרִיּוּת	'akh.ze.ri.Yut	cruel
H0396	אֲכִילָה	'a.khi.Lah	food
H0397	אָכִישׁ	'a.Khish	Achish
H0398	אָכַל	'a.Khol	to eat
