Igehely	Kapcsolódó igehely	Kapcsolódó igehely magyar megjelenítése
Gen.46.20	Gen.41.50-Gen.41.52	1Móz 41,50-52
Gen.46.24	Num.26.48-Num.26.49	4Móz 26,48-49
Gen.46.25	Gen.29.29	1Móz 29,29
Gen.46.27	Deu.10.22	5Móz 10,22
Gen.46.34	Gen.43.32	1Móz 43,32
Gen.47.3	Gen.46.34	1Móz 46,34
Gen.47.9	Heb.11.9-Heb.11.13	Zsid 11,9-13
Gen.47.11	Gen.47.6-Gen.47.27	1Móz 47,6-27
Gen.47.27	Gen.47.11	1Móz 47,11
Gen.47.29	Gen.24.2	1Móz 24,2
Gen.48.3	Gen.28.13	1Móz 28,13
Gen.48.4	Gen.28.14	1Móz 28,14
Gen.48.5	Gen.41.50-Gen.41.52	1Móz 41,50-52
Gen.48.7	Gen.35.16-Gen.35.19	1Móz 35,16-19
Gen.48.15	Heb.11.21	Zsid 11,21
Gen.48.16	Gen.31.11-Gen.31.13	1Móz 31,11-13
Gen.48.16	Gen.28.20-Gen.28.21	1Móz 28,20-21
Gen.48.16	Gen.32.9-Gen.32.12	1Móz 32,9-12
Gen.48.22	Gen.33.19	1Móz 33,19
Gen.49.3	Gen.29.32	1Móz 29,32
Gen.49.4	Gen.35.22	1Móz 35,22
Gen.49.5	Gen.34.13-Gen.34.15	1Móz 34,13-15
Gen.49.5	Gen.34.25	1Móz 34,25
Gen.49.7	Jos.19.1	Józs 19,1
Gen.49.7	Jos.21.5	Józs 21,5
Gen.49.8	1Ch.5.2	1Krón 5,2
Gen.49.9	Jdg.1.19	Bir 1,19
Gen.49.10	Jos.18.1-Jos.18.9	Józs 18,1-9
Gen.49.12	Pro.23.29-Pro.23.30	Péld 23,29-30
Gen.49.23	Gen.37.4	1Móz 37,4
Gen.49.23	Gen.37.18-Gen.37.27	1Móz 37,18-27
Gen.49.24	Gen.50.20	1Móz 50,20
Gen.49.30	Gen.23.16-Gen.23.17	1Móz 23,16-17
Gen.49.31	Act.7.16	Csel 7,16
Gen.49.33	Act.7.15	Csel 7,15
Gen.50.5	Gen.47.29-Gen.47.31	1Móz 47,29-31
Gen.50.13	Act.7.16	Csel 7,16
Gen.50.15	Gen.37.28	1Móz 37,28
Gen.50.24	Heb.11.22	Zsid 11,22
Gen.50.25	Exo.13.19	2Móz 13,19
Gen.50.25	Jos.24.32	Józs 24,32
Gen.50.26	Gen.50.22	1Móz 50,22
Exo.1.7	Act.7.17	Csel 7,17
Exo.1.8	Act.7.18	Csel 7,18
Exo.1.9	Psa.105.24	Zsolt 105,24
Exo.1.10	Act.7.19	Csel 7,19
Exo.1.22	Act.7.19	Csel 7,19
Exo.2.2	Exo.6.20	2Móz 6,20
Exo.2.2	Num.26.59	4Móz 26,59
Exo.2.2	Heb.11.23	Zsid 11,23
Exo.2.5	Act.7.21	Csel 7,21
Exo.2.15	Act.7.29	Csel 7,29
Exo.2.22	Exo.18.3	2Móz 18,3
Exo.2.23	Num.20.15-Num.20.16	4Móz 20,15-16
Exo.2.24	Gen.15.14	1Móz 15,14
Exo.2.24	Gen.26.2-Gen.26.4	1Móz 26,2-4
Exo.3.2	Act.7.30-Act.7.32	Csel 7,30-32
Exo.3.5	Jos.5.15	Józs 5,15
Exo.3.6	Mat.22.32	Máté 22,32
Exo.3.7	Act.7.34	Csel 7,34
Exo.3.15	Isa.42.8	Ésa 42,8
Exo.3.22	Exo.11.2	2Móz 11,2
Exo.3.22	Exo.12.35	2Móz 12,35
Exo.4.9	Exo.7.20	2Móz 7,20
Exo.4.12	Mat.10.19	Máté 10,19
Exo.4.12	Luk.21.14	Luk 21,14
Exo.4.14	Exo.6.20	2Móz 6,20
Exo.4.20	Exo.4.2-Exo.4.3	2Móz 4,2-3
Exo.4.20	Exo.4.17	2Móz 4,17
Exo.4.21	Exo.7.12-Exo.7.13	2Móz 7,12-13
Exo.4.21	Exo.7.20	2Móz 7,20
Exo.4.21	Exo.7.22	2Móz 7,22
Exo.4.22	Hos.11.1	Hós 11,1
Exo.4.24	Gen.17.14	1Móz 17,14
Exo.4.27	Exo.3.1	2Móz 3,1
Exo.4.31	Exo.3.18	2Móz 3,18
Exo.5.2	Job.21.15	Jób 21,15
Exo.6.3	Gen.17.1	1Móz 17,1
Exo.6.3	Exo.21.2	2Móz 21,2
Exo.6.3	Heb.11.11	Zsid 11,11
Exo.6.8	Gen.15.18	1Móz 15,18
Exo.6.8	Gen.28.13	1Móz 28,13
Exo.6.12	Exo.4.10	2Móz 4,10
Exo.6.12	Exo.7.1-Exo.7.2	2Móz 7,1-2
Exo.6.14	Gen.46.9	1Móz 46,9
Exo.6.15	Gen.46.10	1Móz 46,10
Exo.6.16	Gen.46.11	1Móz 46,11
Exo.6.16	1Ch.6.1	1Krón 6,1
Exo.6.17	1Ch.6.17	1Krón 6,17
Exo.6.18	1Ch.6.18	1Krón 6,18
Exo.6.19	1Ch.6.19	1Krón 6,19
Exo.6.26	Exo.6.10	2Móz 6,10
Exo.6.30	Exo.4.10	2Móz 4,10
Exo.6.30	Exo.7.1-Exo.7.2	2Móz 7,1-2
Exo.7.1	Exo.4.16	2Móz 4,16
Exo.7.3	Exo.4.21	2Móz 4,21
Exo.7.3	Exo.7.13-Exo.7.14	2Móz 7,13-14
Exo.7.11	2Ti.3.8	2Tim 3,8
Exo.8.27	Exo.3.18	2Móz 3,18
Exo.9.12	Exo.9.34	2Móz 9,34
Exo.9.12	Exo.7.12-Exo.7.13	2Móz 7,12-13
Exo.9.12	Exo.8.15-Exo.8.32	2Móz 8,15-32
Exo.9.16	Exo.3.19-Exo.3.20	2Móz 3,19-20
Exo.9.16	Rom.9.17	Róm 9,17
Exo.10.27	Exo.9.12	2Móz 9,12
Exo.11.2	Exo.3.22	2Móz 3,22
