Strong_padded	Strong_eredeti	Teljes_szocikk
H0041	H41	אֲבִינָדָב (ʼĂbîynâdâb｜ab-ee-naw-dawb'｜proper noun｜person｜Abinadab) [pn] אֲבִינָדָב ETCBC: אֲבִינָדָב (nmpr｜Abinadab) OSHL: a.ae.aq GK: H44 Derivation: from אָב and נָדַב; father of generosity (i.e. liberal); Strong's: Abinadab, the name of four Israelites KJV: Abinadab.
H0042	H42	אֲבִינֹעַם (ʼĂbîynôʻam｜ab-ee-no'-am｜proper noun｜person｜Abinoam) [pn] אֲבִינֹעַם, אֲבִינׄעַם ETCBC: אֲבִינֹעַם (nmpr｜Abinoam) OSHL: a.ae.ar GK: H45 Derivation: from אָב and נֹעַם; father of pleasantness (i.e. gracious); Strong's: Abinoam, an Israelite KJV: Abinoam.
H0043	H43	אֶבְיָסָף (ʼEbyâçâph｜eb-yaw-sawf'｜proper noun｜person｜Ebiasaph) [pn] אֶבְיָסָף ETCBC: אֶבְיָסָף (nmpr｜Ebiasaph) OSHL: a.ae.ae GK: H47 Derivation: contracted from אֲבִיאָסָף; Strong's: Ebjasaph, an Israelite KJV: Ebiasaph.
H0044	H44	אֲבִיעֶזֶר (ʼĂbîyʻezer｜ab-ee-ay'-zer｜proper noun｜person｜Abiezer) [pn] אֲבִיעֶזֶר ETCBC: אֲבִיעֶזֶר (nmpr｜Abiezer) OSHL: a.ae.at GK: H48 Derivation: from אָב and עֵזֶר; father of help (i.e. helpful); Strong's: Abiezer, the name of two Israelites KJV: Abiezer.
H0045	H45	אֲבִי־עַלְבֹון (ʼĂbîy-ʻalbôwn｜ab-ee-al-bone'｜proper noun｜person｜Abialbon) [pn] אֲבִי־עַלְבֹון, עַלְבֹּון ETCBC: אֲבִי עַלְבֹון (nmpr｜Abi-albon) OSHL: a.ae.ac GK: H50, H6588 Derivation: from אָב and an unused root of uncertain derivation; probably, father of strength (i.e. valiant); Strong's: Abialbon, an Israelite KJV: Abialbon.
H0046	H46	אָבִיר (ʼâbîyr｜aw-beer'｜adjective｜strong) [Heb] אָבִיר ETCBC: אָבִיר (adjv｜strong) OSHL: a.aq.ae TWOT: 13c GK: H51 Greek: ἄγγελος, δυνατός, ἰσχυρός, ταῦρος Derivation: from אָבַר; Strong's: mighty (spoken of God) KJV: mighty (one).
H0047	H47	אַבִּיר (ʼabbîyr｜ab-beer'｜adjective｜mighty) [Heb] אַבִּיר ETCBC: אַבִּיר (adjv｜strong) OSHL: a.aq.af TWOT: 13d GK: H52 Greek: ἀδύνατος, δυνάστης, θεός, ἰσχύς, ἰσχύω Derivation: for אָבִיר Strong's: {mighty (spoken of God)} KJV: angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant.
H0048	H48	אֲבִירָם (ʼĂbîyrâm｜ab-ee-rawm'｜proper noun｜person｜Abiram) [pn] אֲבִירָם ETCBC: אֲבִירָם (nmpr｜Abiram) OSHL: a.ae.av GK: H53 Derivation: from אָב and רוּם; father of height (i.e. lofty); Strong's: Abiram, the name of two Israelites KJV: Abiram.
H0049	H49	אֲבִישַׁג (ʼĂbîyshag｜ab-ee-shag'｜proper noun｜person｜Abishag) [pn] אֲבִישַׁג ETCBC: אֲבִישַׁג (nmpr｜Abishag) OSHL: a.ae.ax GK: H54 Derivation: from אָב and שָׁגָה; father of error (i.e. blundering); Strong's: Abishag, a concubine of David KJV: Abishag.
H0050	H50	אֲבִישׁוּעַ (ʼĂbîyshûwaʻ｜ab-ee-shoo'-ah｜proper noun｜person｜Abishua) [pn] אֲבִישׁוּעַ ETCBC: אֲבִישׁוּעַ (nmpr｜Abishua) OSHL: a.ae.ay GK: H55 Typo: xlit ʼĂbîyshûwac corrected to ʼĂbîyshûwaʻ Derivation: from אָב and שֹׁועַ; father of plenty (i.e. prosperous); Strong's: Abishua, the name of two Israelites KJV: Abishua.
