# T1.1 munkalap (TEREMT002_KUTATAS_BRIEF.md) -- adat/auditok.tsv alakjában, betöltés a T1.3-ban. Sema: adat/SEMA.md 2.9
id	lepes	proveniencia	datum
TEREMT-002	B4	scope=range:Ézs 40:14 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=18 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 40:14 | forras=TSK_kereszthivatkozasok.tsv | n=5 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 40:14 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=0 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	B4	scope=range:Jób 26:14 | forras=LXX_kivonat_Job.tsv+TAGNT_kivonat.tsv | n=20 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Jób 26:14 | forras=TSK_kereszthivatkozasok.tsv | n=14 | ts=2026-09-25T11:03Z	2026.09.25
TEREMT-002	A5	scope=range:Jób 26:14 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=1 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	B4	scope=range:Náh 2:10 | forras=LXX_kivonat_Nahum.tsv+TAGNT_kivonat.tsv | n=23 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Náh 2:10 | forras=TSK_kereszthivatkozasok.tsv | n=24 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Náh 2:10 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=1 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Mt 24:29 | forras=TSK_kereszthivatkozasok.tsv | n=29 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Mt 24:29 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=3 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Mk 13:24 | forras=TSK_kereszthivatkozasok.tsv | n=27 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Mk 13:24 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=1 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Mk 13:25 | forras=TSK_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Mk 13:25 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=1 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	B4	scope=range:Ézs 13:10 | forras=LXX_kivonat_Ezsaias.tsv+TAGNT_kivonat.tsv | n=31 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 13:10 | forras=TSK_kereszthivatkozasok.tsv | n=18 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Ézs 13:10 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=4 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	B4	scope=range:Jóel 3:15 | forras=LXX_kivonat_Joel.tsv+TAGNT_kivonat.tsv | n=12 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Jóel 3:15 | forras=TSK_kereszthivatkozasok.tsv | n=8 | ts=2026-09-25T11:04Z	2026.09.25
TEREMT-002	A5	scope=range:Jóel 3:15 | forras=Karoli_1908.tsv+Karoli_kereszthivatkozasok.tsv | n=2 | ts=2026-09-25T11:04Z	2026.09.25
