sorszam	level	oldal	bbox	hocr_sor	gepi_jelzesek	itelet
119	625	610	325,481,1955,529	—-(c) In the strictly Christian sense οἵ. ἀδελφός, 1 Pet. iii. 8, τὸ δὲ τέλος πάντες	(csak görög, jelzés nélkül)	
120	625	610	326,536,1953,586	ὁμόφρονες, συμπαθεῖς, φιλάδελφοι, εὔσπλαγχνοι, ταπεινόφρονες, Where as compared with	(csak görög, jelzés nélkül)	
121	625	610	322,646,1956,698	those which follow are distinct; φιλάδ. sums up the bearing of Christians to each other ;	(csak görög, jelzés nélkül)	
122	625	610	398,853,1954,897	Φιλαδελφία, ἡ, (1.) in profane Greek (Plut., Luc.) brotherly love, of the love of	(csak görög, jelzés nélkül)	
123	625	610	320,906,1948,952	brothers and sisters, literally, to each other. Often, like ἀδελφότης and φιλάδελφος in	(csak görög, jelzés nélkül)	
124	625	610	321,1018,1948,1065	οὕτω δὴ τοίνυν καθεστώσης συμπαθῶς τῆς φιλαδελφίας οἱ ἑπτὰ ἀδελφοὶ συμπαθέστερον	c5_nem_igazolt	
125	625	610	319,1076,1947,1122	ἔσχον πρὸς ἀλλήλους.----(11.) In the N. T. of the love of Christians one to another growing	(csak görög, jelzés nélkül)	
126	625	610	321,1186,1946,1230	2 Pet. i. 7. The idea which culminates in this use of φιλαδελφία as to relation and	latin_torzkep	
127	625	610	318,1241,1945,1287	bearing of Christians to each other, expressed in the N. Τὶ import of ἀδελφός and its	c5_nem_igazolt	
128	625	610	396,1387,1946,1433	Ψευδάδελφος, 6, false brother, in the distinctively N. T. sense of ἀδελφός, a	c5_nem_igazolt	
129	625	610	319,1499,1945,1545	διὰ δὲ τοὺς παρεισάκτους ψευδαδέλφους, οἵτινες παρεισῆλθον κατασκοπῆσαι THY ἐλευθερίαν	(csak görög, jelzés nélkül)	
130	625	610	319,1557,1944,1598	ἡμῶν κιτιλ., it denotes those who had become members of the Christian Church, sharers in	c5_nem_igazolt, latin_torzkep	
131	625	610	315,1667,1944,1712	no right to be ἀδελφοί (παρείσακτοι, παρεισῆλθον). They had the companionship of the	c5_nem_igazolt, latin_torzkep	
132	625	610	316,1724,1945,1769	ἀδελφοί, but real kinship of spiritual life was wanting. So 2 Cor, xii 26. By claiming	latin_torzkep	
133	625	610	382,1858,1942,1917	“A 8ns. The comparison of the wotd οἰ with the German Hille is a mistake.	latin_torzkep	
134	625	610	315,2037,1944,2082	intimation in either of a cleft or efapty space. Delitzsch therefore rightly (in his Isaiah,	latin_torzkep	
135	625	610	317,2145,1944,2191	Greek ἄβυσσος and not ἅδης answers to its meaning. See ἄβυσσος. But the German	c5_nem_igazolt	
136	625	610	316,2204,1944,2250	Hille is both etymologically and by linguistic usage closely akin to the Greek ὕδης, since	c5_nem_igazolt, latin_torzkep	
137	625	610	314,2368,1943,2414	renders ans by halja, whereas for yéevva he has no Gothic word, but adopts the Greek	latin_torzkep	
138	625	610	317,2593,1942,2635	the words of the Creed, He descended into hell, nidar steig zi hellin. Still in the 16th	latin_torzkep	
139	757	742	636,370,1642,421	Καλέω 742 * Exixaréo	c5_nem_igazolt	
140	757	742	305,474,1934,519	by βοᾶν, ἀναγιγνώσκειν, κηρύσσειν). The distinctive N. T. use of the word (Luke v. 32;	(csak görög, jelzés nélkül)	
141	757	742	304,522,1933,575	Matt. ix. 13; Mark ii. 17, καλέσαι ἁμαρτωλούς) answers to the use of xp in Isa. 1. 2;	latin_torzkep	
142	757	742	303,586,1932,632	ἐκάλεσα καὶ οὐχ ἣν ὑπακούων, lxv. 2; also Isa. xli. 9, xlii. 6, xlvi. 11, xlviii. 12, 13, 15,	(csak görög, jelzés nélkül)	
143	757	742	302,636,1928,692	li. 2; compare ὩΣ 87P, Isa. xliii. 1, xlv. 3, 4; Ex. xxxi. 2 Ξξ ἐο call a person for a definite	c5_nem_igazolt	
144	757	742	297,699,1932,741	purpose (hence synonymous with ἐο select ov choose), to call that he may hear, come, and	(csak görög, jelzés nélkül)	
145	757	742	303,754,1933,797	do that which is incumbent upon him, or ke what is designed for him. The theme	latin_torzkep	
146	757	742	301,922,1932,965	usage it becomes a term. techn. for special relationships, as, 6.9., καλεῖν is employed in	(csak görög, jelzés nélkül)	
147	757	742	300,978,1931,1021	profane Greek for a summons or prosecution in law. In Isaiah the subject of δὲ is	latin_torzkep	
148	757	742	302,1034,1931,1073	Gop, and thus also it is with the N. T. καλεῖν. It denotes a call from God or in God’s	(csak görög, jelzés nélkül)	
149	757	742	301,1087,1931,1132	name, ἃ call to participate in the revelation of grace (cf. also Rom. iv. 17, καλοῦντος τὰ	(csak görög, jelzés nélkül)	
150	757	742	300,1142,1934,1191	μὴ ὄντα ὡς ὄντα, and especially the expression κλητὴ dyia=VIP IPP, Ex, xii. 16;	(csak görög, jelzés nélkül)	
151	757	742	376,1285,1931,1331	᾿γ καλέω, to accuse, to bring a charge against, a signification springing from the	(csak görög, jelzés nélkül)	
152	757	742	302,1343,1931,1387	use of καλεῖν to denote legal proceedings, because the prosecution may be said to take	latin_torzkep	
153	757	742	301,1393,1932,1447	hold of the person = to serve a summons upon him; cf. ἐνυβρίζειν τινί, ἐγγελᾶν τινί,	c5_nem_igazolt	
154	757	742	303,1453,1932,1498	sometimes τινί τινος, τινὶ ἐπί τινι. It is used both of legal and non-legal accusation in	latin_torzkep	
155	757	742	303,1511,1934,1553	Xen., Dem., Isocr., Plut. οὐ o/., usually with τί τιν, Rare in the LXX., Zech. i. 4 =p;	(csak görög, jelzés nélkül)	
156	757	742	303,1559,1935,1614	Prov. xix. 5, ὁ ἐγκαλῶν ἀδικως -- ΓΒ. The passive, Ex. xxii. 8, πάσης ἀπωλείας τῆς	c5_nem_igazolt	
157	757	742	301,1615,1933,1668	ἐγκαλουμένης, as in profane Greek, τὰ ἐγκαλούμενα, the accusations= 0x. In the	c5_nem_igazolt	
158	757	742	301,1730,1934,1778	thing. In the N. T. only in the active, and once by Paul, Acts xix. 38, xxiii, 28, δ ἣν	(csak görög, jelzés nélkül)	
